ID,Pair, Entry Price,Action,SL,TP,Time Open,Time Closed
c2dc0cd0-7b0f-4125-a94c-98e244e4f797,AUD/USD,0.6708,Buy,0,1,4/13/2023 4:58:23 AM,4/13/2023 11:49:42 AM,
6db4e510-3e4a-4279-be47-3ccfaaa7f5ff,ETH/USD,1876.33,Buy,0,1,4/7/2023 4:59:27 AM,4/13/2023 8:54:50 AM,
5c1eca94-2a0e-425c-88dc-3a038f6987f4,Gold,2016.57,Buy,0,1,4/13/2023 4:53:10 AM,4/13/2023 7:32:17 AM,
a659e388-01a6-44c0-bf1b-e32f339d3e15,USD/JPY,133.1,Buy,0,1,4/12/2023 3:30:44 PM,4/12/2023 5:57:32 PM,
3e3ec7eb-facd-4416-a05a-1234365ff5c3,USD/JPY,132.95,Buy,0,1,4/12/2023 12:55:10 PM,4/12/2023 1:41:30 PM,
8243754d-8533-465e-a731-2b9bfda88fe4,Gold,2018.7,Buy,0,1,4/12/2023 5:03:51 AM,4/12/2023 12:35:22 PM,
82e6818e-14d5-46cc-b492-2b5abc08a4c2,USD/CHF,0.9022,Buy,1,0,4/12/2023 5:08:19 AM,4/12/2023 12:30:48 PM,
ada4ffc8-5f8f-421f-b87b-74605ddcc101,EUR/JPY,146,Buy,0,1,4/12/2023 6:28:11 AM,4/12/2023 8:36:26 AM,
fd07db72-4429-4522-9b10-2afe8163676e,EUR/USD,1.0891,Sell,1,0,4/11/2023 5:32:47 AM,4/12/2023 5:39:40 AM,
e6134265-fbef-4fd1-84f6-f7042be358bb,Gold,2000.08,Buy,0,1,4/11/2023 5:31:23 AM,4/12/2023 1:20:32 AM,
0104a323-a012-4a4e-851a-e4033f3209e9,USD/CAD,1.3508,Buy,1,0,4/10/2023 9:38:13 PM,4/11/2023 6:59:41 PM,
9cf882d9-9949-4987-a69f-da1f01c74f74,USOil,79.87,Sell,1,0,4/6/2023 3:59:09 AM,4/11/2023 3:39:38 PM,
521fca81-51fc-4bef-96d4-72a4b85e3d9a,Gold,1995.87,Buy,0,1,4/11/2023 2:55:56 AM,4/11/2023 3:28:13 AM,
3cffef3c-311d-4ac5-b183-2900b4648341,Gold,1991.95,Sell,1,0,4/11/2023 1:50:26 AM,4/11/2023 2:11:02 AM,
c09476b3-243c-40de-af8a-90327b445ecd,AUD/USD,0.6629,Sell,1,0,4/10/2023 1:53:54 PM,4/11/2023 2:10:25 AM,
a9164ebe-32d8-47ff-a44e-bb91175607b9,Gold,1988.85,Sell,1,0,4/10/2023 3:05:15 PM,4/11/2023 12:00:57 AM,
03f1ccc7-30d2-4023-9d92-2ebf6b20f5e8,BTC/USD,24327.5,Buy,0,1,3/14/2023 10:08:25 PM,4/10/2023 10:02:33 PM,
dd7a27d2-eb41-4804-9c8c-1ae510aaab54,EUR/JPY,144.67,Buy,0,1,4/10/2023 1:48:37 PM,4/10/2023 2:45:58 PM,
22fcaf31-99e7-432c-81b2-a6250e4b7744,USD/CAD,1.351,Buy,0,1,4/10/2023 4:31:22 AM,4/10/2023 12:55:08 PM,
f19dc865-53cb-46b4-a9ca-fbd36de36500,AUD/USD,0.668,Buy,1,0,4/7/2023 5:07:12 AM,4/10/2023 12:23:28 PM,
4934010f-5c0f-4343-9fd5-07d0ffb63d1e,EUR/USD,1.0893,Sell,0,1,4/10/2023 5:10:17 AM,4/10/2023 12:17:23 PM,
5bb31c1e-733a-42f1-8f6e-8420d5df824a,GBP/USD,1.2401,Sell,1,0,4/10/2023 5:10:32 AM,4/10/2023 9:30:33 AM,
68e72fe4-34d5-4daa-94c8-31f2e80e4483,EUR/USD,1.0887,Buy,0,1,4/10/2023 5:03:47 AM,4/10/2023 5:09:43 AM,
d5ae6103-0e71-48c1-b796-c89f546ba21d,USD/JPY,132.09,Sell,1,0,4/7/2023 3:25:12 PM,4/10/2023 12:33:24 AM,
dc4d8ac5-df6b-48d1-b6b3-8a142fe6fde7,Gold,2013.71,Buy,1,0,4/6/2023 6:54:19 AM,4/9/2023 10:00:05 PM,
51f0299d-8b24-4167-b2ef-71291eae8c56,EUR/CHF,0.9871,Sell,1,0,4/6/2023 11:09:57 AM,4/7/2023 9:15:37 PM,
8b491b24-ade8-4ba1-a384-8fb01f276712,USD/JPY,131.75,Sell,1,0,4/6/2023 1:24:33 PM,4/7/2023 12:30:26 PM,
68f46b5a-cae1-4d97-a5f0-e5fcf931fb9f,USD/CAD,1.3476,Buy,0,1,4/6/2023 3:46:42 PM,4/7/2023 8:36:11 AM,
9e439ec2-c125-4def-ba73-be975751d601,USD/CHF,0.9069,Sell,0,1,4/6/2023 6:26:50 AM,4/6/2023 7:47:00 AM,
5b6d2e60-4908-4e80-95e8-3637899216a6,Gold,2024.57,Buy,1,0,4/5/2023 6:09:45 AM,4/6/2023 2:22:04 AM,
331bf13d-5a55-4379-9b5c-162c43c62d3b,USD/JPY,131.14,Sell,0,1,4/5/2023 3:37:36 PM,4/5/2023 11:45:52 PM,
6c2f9a89-54da-43bd-b453-a63f8be67d2f,EUR/USD,1.0951,Buy,1,0,4/5/2023 5:44:57 AM,4/5/2023 2:49:32 PM,
f5eda64a-110b-4127-8669-e9d0b1307ca5,GBP/USD,1.2485,Buy,1,0,4/5/2023 12:25:11 PM,4/5/2023 2:44:55 PM,
4975030b-fe44-42f1-868f-dce706363e31,AUD/USD,0.674,Sell,0,1,4/4/2023 12:48:59 PM,4/5/2023 7:41:26 AM,
10b3d9a9-a5dc-4917-aca7-8ee91ef8fb3e,Gold,2020.75,Buy,0,1,4/4/2023 7:28:18 PM,4/5/2023 2:43:56 AM,
53d89f2e-e11f-470b-b29c-1efb1bd13c09,Gold,1980.01,Buy,0,1,4/4/2023 3:27:28 AM,4/4/2023 1:32:13 PM,
37892310-401e-477a-9233-c9056f77d301,USD/JPY,132.78,Buy,0,1,4/4/2023 6:10:48 AM,4/4/2023 11:21:24 AM,
afe175fe-b9eb-4093-b705-805db4a85e3d,EUR/GBP,0.8788,Buy,1,0,3/31/2023 12:06:31 PM,4/4/2023 9:10:08 AM,
2710f787-9fc9-4ef2-8898-db1dbd634557,EUR/USD,1.0897,Sell,1,0,4/4/2023 5:10:13 AM,4/4/2023 7:53:02 AM,
660cbd3a-fa83-47fa-8a8f-500bf50122fa,USOil,80.374,Buy,0,1,4/3/2023 2:30:12 PM,4/4/2023 7:25:01 AM,
c41f4289-8447-4480-877c-a4d1e9c273cb,USD/JPY,132.95,Buy,1,0,4/3/2023 12:24:36 PM,4/3/2023 2:01:25 PM,
012bbd7e-e98b-4fac-98da-8b68a5533af9,Gold,1977.15,Buy,1,0,4/3/2023 1:09:09 PM,4/3/2023 1:36:10 PM,
93b90030-9068-4a34-8cf9-f3216b1ac278,Gold,1950.44,Buy,0,1,4/3/2023 5:07:53 AM,4/3/2023 7:13:28 AM,
930bea2f-062b-4877-93fe-2eee2e726acf,EUR/USD,1.079,Buy,0,1,4/3/2023 5:10:51 AM,4/3/2023 7:08:53 AM,
